Tipo;Status;Descricao;Detalhe;Procedimento
LDE;0;Objeto saiu para entrega ao remetente;;Acompanhar
LDI;0;Objeto aguardando retirada no endereço indicado;Endereço:;Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
LDI;1;Objeto aguardando retirada no endereço indicado;Endereço:;Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
LDI;2;Objeto disponível para retirada em Caixa Postal;;Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
LDI;3;Objeto aguardando retirada no endereço indicado;Endereço:;Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
LDI;14;Objeto aguardando retirada no endereço indicado;Endereço:;Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
OEC;0;Objeto saiu para entrega ao destinatário;;Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
OEC;1;Objeto saiu para entrega ao destinatário; ;Acompanhar
OEC;9;Objeto saiu para entrega ao remetente; ;Acompanhar
PAR;15;Objeto recebido em <destino>;;Acompanhar
PAR;16;Objeto recebido no Brasil;Objeto sujeito à fiscalização e atraso na entrega;Acompanhar
PAR;17;Objeto liberado pela alfândega;;Acompanhar
PAR;18;Objeto recebido na unidade de exportação;;Acompanhar
PMT;1;Objeto encaminhado para;<nome da cidade>;Acompanhar
PO;0;Objeto postado;;Acompanhar
PO;1;Objeto postado;;Acompanhar
PO;9;Objeto postado após o horário limite da agência;Objeto sujeito a encaminhamento no próximo dia útil;Acompanhar
RO;0;Objeto encaminhado para;<nome da cidade>;Acompanhar
RO;1;Objeto encaminhado para;<nome da cidade>;Acompanhar
TRI;0;Objeto encaminhado para;<nome da cidade>;Acompanhar
